 GeoStep   ADMPstep   Time, fs    SCF Energy, au   E-Ebeg,kcal/mol  E-E1,kcal/mol  EkinC(~T)     EkinP(A+B)    Ekin        Epot=Escf   Etot=Ekin+Epot  Etot-EkinP=EkinC+Epot  T,K    Connectivity, Rmax=  3.50
       1       0        0.00      -1800.78427533        0.00        0.00           0.032277      0.000000      0.032277  -1800.784275  -1800.751998  -1800.751998            849.99       1     0.00000
       2      10        2.00      -1800.78411625        0.10        0.10           0.031962      0.000161      0.032123  -1800.784116  -1800.751994  -1800.752154            841.69       1     0.00200
       3      20        4.00      -1800.78381488        0.29        0.29           0.031659      0.000163      0.031822  -1800.783815  -1800.751993  -1800.752156            833.71       1     0.00400
       4      30        6.00      -1800.78329182        0.62        0.62           0.031184      0.000116      0.031300  -1800.783292  -1800.751992  -1800.752108            821.21       1     0.00600
       5      40        8.00      -1800.78256066        1.08        1.08           0.030451      0.000117      0.030568  -1800.782561  -1800.751992  -1800.752110            801.91       1     0.00800
       6      50       10.00      -1800.78164819        1.65        1.65           0.029510      0.000145      0.029655  -1800.781648  -1800.751994  -1800.752138            777.12       1     0.01000
       7      60       12.00      -1800.78051413        2.36        2.36           0.028397      0.000124      0.028521  -1800.780514  -1800.751993  -1800.752117            747.82       1     0.01200
       8      70       14.00      -1800.77922164        3.17        3.17           0.027119      0.000110      0.027229  -1800.779222  -1800.751993  -1800.752103            714.16       1     0.01400
       9      80       16.00      -1800.77776987        4.08        4.08           0.025649      0.000128      0.025777  -1800.777770  -1800.751992  -1800.752121            675.46       1     0.01600
      10      90       18.00      -1800.77619225        5.07        5.07           0.024073      0.000126      0.024199  -1800.776192  -1800.751993  -1800.752119            633.95       1     0.01800
      11     100       20.00      -1800.77451744        6.12        6.12           0.022451      0.000074      0.022525  -1800.774517  -1800.751993  -1800.752067            591.23       1     0.02000
      12     110       22.00      -1800.77277480        7.22        7.22           0.020685      0.000097      0.020782  -1800.772775  -1800.751993  -1800.752090            544.72       1     0.02200
      13     120       24.00      -1800.77101078        8.32        8.32           0.018916      0.000102      0.019018  -1800.771011  -1800.751993  -1800.752095            498.15       1     0.02400
      14     130       26.00      -1800.76925788        9.42        9.42           0.017184      0.000082      0.017265  -1800.769258  -1800.751993  -1800.752074            452.52       1     0.02600
      15     140       28.00      -1800.76756631       10.48       10.48           0.015492      0.000081      0.015574  -1800.767566  -1800.751993  -1800.752074            407.98       1     0.02800
      16     150       30.00      -1800.76596537       11.49       11.49           0.013897      0.000076      0.013973  -1800.765965  -1800.751992  -1800.752068            365.96       1     0.03000
      17     160       32.00      -1800.76450026       12.41       12.41           0.012435      0.000073      0.012508  -1800.764500  -1800.751992  -1800.752066            327.46       1     0.03200
      18     170       34.00      -1800.76320255       13.22       13.22           0.011144      0.000066      0.011210  -1800.763203  -1800.751993  -1800.752059            293.46       1     0.03400
      19     180       36.00      -1800.76208966       13.92       13.92           0.010037      0.000060      0.010097  -1800.762090  -1800.751992  -1800.752053            264.31       1     0.03600
      20     190       38.00      -1800.76119390       14.48       14.48           0.009136      0.000066      0.009201  -1800.761194  -1800.751992  -1800.752058            240.59       1     0.03800
      21     200       40.00      -1800.76051605       14.91       14.91           0.008466      0.000058      0.008524  -1800.760516  -1800.751992  -1800.752050            222.94       1     0.04000
      22     210       42.00      -1800.76006340       15.19       15.19           0.008013      0.000058      0.008071  -1800.760063  -1800.751993  -1800.752051            211.01       1     0.04200
      23     220       44.00      -1800.75983008       15.34       15.34           0.007774      0.000064      0.007838  -1800.759830  -1800.751992  -1800.752056            204.72       1     0.04400
      24     230       46.00      -1800.75980316       15.36       15.36           0.007755      0.000056      0.007810  -1800.759803  -1800.751993  -1800.752049            204.21       1     0.04600
      25     240       48.00      -1800.75996606       15.25       15.25           0.007908      0.000066      0.007973  -1800.759966  -1800.751993  -1800.752058            208.25       1     0.04800
      26     250       50.00      -1800.76028217       15.05       15.05           0.008229      0.000061      0.008290  -1800.760282  -1800.751992  -1800.752053            216.70       1     0.05000
      27     260       52.00      -1800.76074067       14.77       14.77           0.008677      0.000071      0.008748  -1800.760741  -1800.751993  -1800.752063            228.51       1     0.05200
      28     270       54.00      -1800.76130206       14.41       14.41           0.009230      0.000080      0.009310  -1800.761302  -1800.751993  -1800.752072            243.06       1     0.05400
      29     280       56.00      -1800.76192860       14.02       14.02           0.009866      0.000070      0.009936  -1800.761929  -1800.751993  -1800.752063            259.81       1     0.05600
      30     290       58.00      -1800.76260836       13.60       13.60           0.010534      0.000082      0.010616  -1800.762608  -1800.751992  -1800.752075            277.40       1     0.05800
      31     300       60.00      -1800.76328781       13.17       13.17           0.011218      0.000077      0.011295  -1800.763288  -1800.751992  -1800.752070            295.43       1     0.06000
      32     310       62.00      -1800.76396163       12.75       12.75           0.011879      0.000090      0.011969  -1800.763962  -1800.751993  -1800.752083            312.82       1     0.06200
      33     320       64.00      -1800.76460075       12.35       12.35           0.012517      0.000091      0.012608  -1800.764601  -1800.751993  -1800.752083            329.64       1     0.06400
      34     330       66.00      -1800.76518224       11.98       11.98           0.013099      0.000090      0.013189  -1800.765182  -1800.751993  -1800.752084            344.95       1     0.06600
      35     340       68.00      -1800.76569103       11.66       11.66           0.013605      0.000094      0.013698  -1800.765691  -1800.751993  -1800.752086            358.28       1     0.06800
      36     350       70.00      -1800.76612721       11.39       11.39           0.014042      0.000092      0.014134  -1800.766127  -1800.751993  -1800.752085            369.78       1     0.07000
      37     360       72.00      -1800.76647101       11.17       11.17           0.014385      0.000094      0.014478  -1800.766471  -1800.751993  -1800.752086            378.81       1     0.07200
      38     370       74.00      -1800.76672388       11.01       11.01           0.014630      0.000100      0.014731  -1800.766724  -1800.751993  -1800.752093            385.28       1     0.07400
      39     380       76.00      -1800.76688527       10.91       10.91           0.014796      0.000096      0.014892  -1800.766885  -1800.751993  -1800.752089            389.64       1     0.07600
      40     390       78.00      -1800.76695734       10.87       10.87           0.014864      0.000100      0.014965  -1800.766957  -1800.751993  -1800.752093            391.44       1     0.07800
      41     400       80.00      -1800.76693786       10.88       10.88           0.014851      0.000095      0.014945  -1800.766938  -1800.751993  -1800.752087            391.08       1     0.08000
      42     410       82.00      -1800.76684765       10.94       10.94           0.014762      0.000093      0.014855  -1800.766848  -1800.751993  -1800.752086            388.75       1     0.08200
      43     420       84.00      -1800.76667539       11.04       11.04           0.014589      0.000094      0.014683  -1800.766675  -1800.751993  -1800.752087            384.18       1     0.08400
      44     430       86.00      -1800.76644699       11.19       11.19           0.014354      0.000100      0.014454  -1800.766447  -1800.751993  -1800.752092            378.02       1     0.08600
      45     440       88.00      -1800.76615792       11.37       11.37           0.014080      0.000086      0.014165  -1800.766158  -1800.751993  -1800.752078            370.78       1     0.08800
      46     450       90.00      -1800.76582948       11.57       11.57           0.013741      0.000096      0.013837  -1800.765830  -1800.751993  -1800.752089            361.85       1     0.09000
      47     460       92.00      -1800.76546550       11.80       11.80           0.013384      0.000088      0.013473  -1800.765465  -1800.751993  -1800.752081            352.46       1     0.09200
      48     470       94.00      -1800.76506979       12.05       12.05           0.012989      0.000088      0.013077  -1800.765070  -1800.751992  -1800.752081            342.06       1     0.09400
      49     480       96.00      -1800.76466588       12.30       12.30           0.012580      0.000093      0.012673  -1800.764666  -1800.751993  -1800.752085            331.30       1     0.09600
      50     490       98.00      -1800.76425039       12.56       12.56           0.012177      0.000081      0.012258  -1800.764250  -1800.751993  -1800.752073            320.68       1     0.09800
      51     500      100.00      -1800.76384097       12.82       12.82           0.011772      0.000076      0.011848  -1800.763841  -1800.751993  -1800.752069            310.01       1     0.10000
      52     510      102.00      -1800.76344697       13.07       13.07           0.011367      0.000087      0.011454  -1800.763447  -1800.751993  -1800.752080            299.36       1     0.10200
      53     520      104.00      -1800.76306688       13.31       13.31           0.010999      0.000076      0.011074  -1800.763067  -1800.751993  -1800.752068            289.64       1     0.10400
      54     530      106.00      -1800.76271941       13.53       13.53           0.010650      0.000077      0.010727  -1800.762719  -1800.751992  -1800.752070            280.46       1     0.10600
      55     540      108.00      -1800.76240644       13.72       13.72           0.010338      0.000076      0.010414  -1800.762406  -1800.751993  -1800.752069            272.24       1     0.10800
      56     550      110.00      -1800.76212923       13.90       13.90           0.010067      0.000070      0.010136  -1800.762129  -1800.751993  -1800.752063            265.09       1     0.11000
      57     560      112.00      -1800.76189937       14.04       14.04           0.009833      0.000073      0.009907  -1800.761899  -1800.751993  -1800.752066            258.96       1     0.11200
      58     570      114.00      -1800.76171804       14.15       14.15           0.009649      0.000076      0.009725  -1800.761718  -1800.751993  -1800.752069            254.11       1     0.11400
      59     580      116.00      -1800.76158603       14.24       14.24           0.009523      0.000070      0.009593  -1800.761586  -1800.751992  -1800.752063            250.78       1     0.11600
      60     590      118.00      -1800.76150427       14.29       14.29           0.009441      0.000071      0.009512  -1800.761504  -1800.751992  -1800.752064            248.62       1     0.11800
      61     600      120.00      -1800.76148195       14.30       14.30           0.009418      0.000071      0.009489  -1800.761482  -1800.751993  -1800.752064            248.02       1     0.12000
